Age,Attrition,Business_Travel,DailyRate,Department,Distance_From_Home,Education_in_years,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_comp_worked,Work_Overtime,Salary_Hike_Percentage,Performance_Rating,Relationship_Satisfaction,Stack_Option_Level,Total_working_years,Train_time_last_year,work_life_balance,Years_company,Years_current_role,Years_Promotion,Years_curr_mangaer
41,1,2,1102,2,1,2,1,2,0,94,3,7,4,2,5993.0,19479.0,8,1,11.0,3,1,0,8.0,0,1,6.0,4.0,0.0,5.0
49,0,1,279,1,8,1,1,3,1,61,2,6,2,1,5130.0,24907.0,1,0,23.0,4,4,1,10.0,3,3,10.0,7.0,1.0,7.0
37,1,2,1373,1,2,2,4,4,1,92,2,2,3,2,2090.0,2396.0,6,1,15.0,3,2,0,7.0,3,3,0.0,0.0,0.0,0.0
33,0,1,1392,1,3,4,1,4,0,56,3,6,3,1,2909.0,23159.0,1,1,11.0,3,3,0,8.0,3,3,8.0,7.0,3.0,0.0
27,0,2,591,1,2,1,3,1,1,40,3,2,2,1,3468.0,16632.0,9,0,12.0,3,4,1,6.0,3,3,2.0,2.0,2.0,2.0
32,0,1,1005,1,2,2,1,4,1,79,3,2,4,2,3068.0,11864.0,0,0,13.0,3,3,0,8.0,2,2,7.0,7.0,3.0,6.0
59,0,2,1324,1,3,3,3,3,0,81,4,2,1,1,2670.0,9964.0,4,1,20.0,4,1,3,12.0,3,2,1.0,0.0,0.0,0.0
30,0,2,1358,1,24,1,1,4,1,67,3,2,3,0,2693.0,13335.0,1,0,22.0,4,2,1,1.0,2,3,1.0,0.0,0.0,0.0
38,0,1,216,1,23,3,1,4,1,44,2,4,3,2,9526.0,8787.0,0,0,21.0,4,2,0,10.0,2,3,9.0,7.0,1.0,8.0
36,0,2,1299,1,27,3,3,3,1,94,3,0,3,1,5237.0,16577.0,6,0,13.0,3,2,2,17.0,3,2,7.0,7.0,7.0,7.0
35,0,2,809,1,16,3,3,1,1,84,4,2,2,1,2426.0,16479.0,0,0,13.0,3,3,1,6.0,5,3,5.0,4.0,0.0,3.0
29,0,2,153,1,15,2,1,4,0,49,2,2,3,2,4193.0,12682.0,0,1,12.0,3,4,0,10.0,3,3,9.0,5.0,0.0,8.0
31,0,2,670,1,26,1,1,1,1,31,3,6,3,0,2911.0,15170.0,1,0,17.0,3,4,1,5.0,1,2,5.0,2.0,4.0,3.0
34,0,2,1346,1,19,2,3,2,1,93,3,2,4,0,2661.0,8758.0,0,0,11.0,3,3,1,3.0,2,3,2.0,2.0,1.0,2.0
28,1,2,103,1,24,3,1,3,1,50,2,2,3,2,2028.0,12947.0,5,1,14.0,3,2,0,6.0,4,3,4.0,2.0,0.0,3.0
29,0,2,1389,1,21,4,1,2,0,51,4,4,1,0,9980.0,10195.0,1,0,11.0,3,3,1,10.0,1,3,10.0,9.0,8.0,8.0
32,0,2,334,1,5,2,1,1,1,80,4,6,2,0,3298.0,15053.0,0,1,12.0,3,4,2,7.0,5,2,6.0,2.0,0.0,5.0
22,0,0,1123,1,16,2,3,4,1,96,4,2,4,0,2935.0,7324.0,1,1,13.0,3,2,2,1.0,2,2,1.0,0.0,0.0,0.0
53,0,2,1219,2,2,4,1,1,0,78,2,3,4,1,15427.0,22021.0,2,0,16.0,3,3,0,31.0,3,3,25.0,8.0,3.0,7.0
38,0,2,371,1,2,3,1,4,1,45,3,6,4,2,3944.0,4306.0,5,1,11.0,3,3,0,6.0,3,3,3.0,2.0,1.0,2.0
24,0,0,673,1,11,2,4,1,0,96,4,4,3,0,4011.0,8232.0,0,0,18.0,3,4,1,5.0,5,2,4.0,2.0,1.0,3.0
36,1,2,1218,2,9,4,1,3,1,82,2,8,1,2,3407.0,6986.0,7,0,23.0,4,2,0,10.0,4,3,5.0,3.0,0.0,3.0
34,0,2,419,1,7,4,1,1,0,53,3,5,2,2,11994.0,21293.0,0,0,11.0,3,3,0,13.0,4,3,12.0,6.0,2.0,11.0
21,0,2,391,1,15,2,1,3,1,96,3,6,4,2,1232.0,19281.0,1,0,14.0,3,4,0,0.0,6,3,0.0,0.0,0.0,0.0
34,1,2,699,1,6,1,3,2,1,83,3,6,1,2,2960.0,17102.0,2,0,11.0,3,3,0,8.0,2,3,4.0,2.0,1.0,3.0
53,0,2,1282,1,5,3,4,3,0,58,3,3,3,0,19094.0,10735.0,4,0,11.0,3,4,1,26.0,3,2,14.0,13.0,4.0,8.0
32,1,1,1125,1,16,1,1,2,0,72,1,6,1,2,3919.0,4681.0,1,1,22.0,4,2,0,10.0,5,3,10.0,2.0,6.0,7.0
42,0,2,691,2,8,4,2,3,1,48,3,7,2,1,6825.0,21173.0,0,0,11.0,3,4,1,10.0,2,3,9.0,7.0,4.0,2.0
44,0,2,477,1,7,4,3,1,0,42,2,0,4,1,10248.0,2094.0,3,0,14.0,3,4,1,24.0,4,3,22.0,6.0,5.0,17.0
46,0,2,705,2,2,4,2,2,0,83,3,3,1,2,18947.0,22822.0,3,0,12.0,3,4,0,22.0,2,2,2.0,2.0,2.0,1.0
33,0,2,924,1,2,3,3,3,1,78,3,2,4,2,2496.0,6670.0,4,0,11.0,3,4,0,7.0,3,3,1.0,1.0,0.0,0.0
44,0,2,1459,1,10,4,4,4,1,41,3,0,4,1,6465.0,19121.0,2,1,13.0,3,4,0,9.0,5,4,4.0,2.0,1.0,3.0
30,0,2,125,1,9,2,3,4,1,83,2,2,3,2,2206.0,16117.0,1,0,13.0,3,1,0,10.0,5,3,10.0,0.0,1.0,8.0
39,1,2,895,2,5,3,5,4,1,56,3,8,4,1,2086.0,3335.0,3,0,14.0,3,3,1,19.0,6,4,1.0,0.0,0.0,0.0
24,1,2,813,1,1,3,3,2,1,61,3,6,4,1,2293.0,3020.0,2,1,16.0,3,1,1,6.0,2,2,2.0,0.0,2.0,0.0
43,0,2,1273,1,2,2,3,4,0,72,4,6,3,0,2645.0,21923.0,1,0,12.0,3,4,2,6.0,3,2,5.0,3.0,1.0,4.0
50,1,2,869,2,3,2,2,1,1,86,2,8,3,1,2683.0,3810.0,1,1,14.0,3,3,0,3.0,2,3,3.0,2.0,0.0,2.0
35,0,2,890,2,2,3,2,4,0,97,3,8,4,1,2014.0,9687.0,1,0,13.0,3,1,0,2.0,3,3,2.0,2.0,2.0,2.0
36,0,2,852,1,5,4,1,2,0,82,2,6,1,1,3419.0,13072.0,9,1,14.0,3,4,1,6.0,3,4,1.0,1.0,0.0,0.0
33,0,1,1141,2,1,3,1,3,0,42,4,7,1,1,5376.0,3193.0,2,0,19.0,3,1,2,10.0,3,3,5.0,3.0,1.0,3.0
35,0,2,464,1,4,2,4,3,1,75,3,2,4,0,1951.0,10910.0,1,0,12.0,3,3,1,1.0,3,3,1.0,0.0,0.0,0.0
27,0,2,1240,1,2,4,1,4,0,33,3,2,1,0,2341.0,19715.0,1,0,13.0,3,4,1,1.0,6,3,1.0,0.0,0.0,0.0
26,1,2,1357,1,25,3,1,1,1,48,1,2,3,2,2293.0,10558.0,1,0,12.0,3,3,0,1.0,2,2,1.0,0.0,0.0,1.0
