EmployeeNumber,Age,Attrition,Business_Travel,DailyRate,Department,Distance_From_Home,Education_in_years,Education_Field,Emp_count,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_comp_worked,Age_Over18,Work_Overtime,Salary_Hike_Percentage,Performance_Rating,Relationship_Satisfaction,Std_working_hours,Stack_Option_Level,Total_working_years,Train_time_last_year,work_life_balance,Years_company,Years_current_role,Years_Promotion,Years_curr_mangaer
1,41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female              ,94,3,2,Sales Executive                         ,4,Single                                  ,5993.0,19479.0,8,Y         ,Yes       ,11.0,3,1,80,0,8.0,0,1,6.0,4.0,0.0,5.0
2,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,3,Male                ,61,2,2,Research Scientist                      ,2,Married                                 ,5130.0,24907.0,1,Y         ,No        ,23.0,4,4,80,1,10.0,3,3,10.0,7.0,1.0,7.0
4,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,Male                ,92,2,1,Laboratory Technician                   ,3,Single                                  ,2090.0,2396.0,6,Y         ,Yes       ,15.0,3,2,80,0,7.0,3,3,0.0,0.0,0.0,0.0
5,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,4,Female              ,56,3,1,Research Scientist                      ,3,Married                                 ,2909.0,23159.0,1,Y         ,Yes       ,11.0,3,3,80,0,8.0,3,3,8.0,7.0,3.0,0.0
7,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,1,Male                ,40,3,1,Laboratory Technician                   ,2,Married                                 ,3468.0,16632.0,9,Y         ,No        ,12.0,3,4,80,1,6.0,3,3,2.0,2.0,2.0,2.0
8,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,4,Male                ,79,3,1,Laboratory Technician                   ,4,Single                                  ,3068.0,11864.0,0,Y         ,No        ,13.0,3,3,80,0,8.0,2,2,7.0,7.0,3.0,6.0
10,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,3,Female              ,81,4,1,Laboratory Technician                   ,1,Married                                 ,2670.0,9964.0,4,Y         ,Yes       ,20.0,4,1,80,3,12.0,3,2,1.0,0.0,0.0,0.0
11,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,4,Male                ,67,3,1,Laboratory Technician                   ,3,Divorced                                ,2693.0,13335.0,1,Y         ,No        ,22.0,4,2,80,1,1.0,2,3,1.0,0.0,0.0,0.0
12,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male                ,44,2,3,Manufacturing Director                  ,3,Single                                  ,9526.0,8787.0,0,Y         ,No        ,21.0,4,2,80,0,10.0,2,3,9.0,7.0,1.0,8.0
13,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,3,Male                ,94,3,2,Healthcare Representative               ,3,Married                                 ,5237.0,16577.0,6,Y         ,No        ,13.0,3,2,80,2,17.0,3,2,7.0,7.0,7.0,7.0
